STATUSMOVEMENTID,SUBSCRIPTIONID,STATUSID,MOVEMENTDATE
18274517,5116,1,03-04-2024 21:08
82114866,5116,2,03-04-2024 21:13
99674774,5116,0,03-04-2024 21:22
31120963,5116,2,03-04-2024 21:26
33536042,6249,1,10-03-2024 16:20
91901141,6249,2,10-03-2024 16:23
26302831,6249,3,10-03-2024 16:25
80108609,6249,0,10-03-2024 16:33
79063920,6249,2,10-03-2024 16:36
40903077,6249,3,10-03-2024 16:37
53632597,6249,0,10-03-2024 16:39
17192847,6249,1,10-03-2024 16:40
98471124,6249,2,10-03-2024 16:41
71695178,6249,3,10-03-2024 16:46
21176069,9410,1,29-02-2024 15:09
94769014,9410,2,29-02-2024 15:13
76766716,9410,3,29-02-2024 15:17
91739733,9410,0,29-02-2024 15:20
12390147,9410,2,29-02-2024 15:24
70309106,9410,3,29-02-2024 15:28
98970427,1727,1,24-02-2024 16:57
56672003,1727,2,24-02-2024 17:00
26989885,1727,3,24-02-2024 17:04
35402429,1727,0,24-02-2024 17:07
74481076,1727,2,24-02-2024 17:09
56903281,1727,3,24-02-2024 17:11
61027989,1727,4,24-02-2024 17:16
96798822,1727,5,24-02-2024 17:19
39137320,5100,1,10-04-2024 14:34
49738009,5100,0,10-04-2024 14:49
58785663,5100,0,10-04-2024 14:58
78729840,5100,1,10-04-2024 15:03
45111266,7362,1,22-03-2024 12:08
94401281,7362,2,22-03-2024 12:10
65357176,7362,3,22-03-2024 12:14
58005774,7362,4,22-03-2024 12:16
68534571,7362,0,22-03-2024 12:17
73378887,7362,2,22-03-2024 12:20
47527531,7362,3,22-03-2024 12:24
45770072,7362,0,22-03-2024 12:27
57743407,7362,1,22-03-2024 12:31
71099647,7362,2,22-03-2024 12:33
79618466,7362,3,22-03-2024 12:36
12355399,7362,4,22-03-2024 12:39
57104318,7362,5,22-03-2024 12:40
14326590,4320,0,07-02-2024 10:16
11516308,4320,0,07-02-2024 10:24
76850891,9465,1,04-03-2024 11:03
36310418,9465,0,04-03-2024 11:11
83783658,8573,1,03-02-2024 17:30
82880692,8573,2,03-02-2024 17:32
29522872,8573,3,03-02-2024 17:35
84965289,8573,4,03-02-2024 17:40
11629621,8573,0,03-02-2024 17:42
17760976,8573,2,03-02-2024 17:46
38162414,8573,3,03-02-2024 17:49
42515428,8573,0,03-02-2024 17:50
46192424,8573,1,03-02-2024 17:51
62985374,8573,2,03-02-2024 17:54
89711725,8573,3,03-02-2024 17:57
33142159,8573,4,03-02-2024 18:02
25108204,8573,5,03-02-2024 18:07
10594006,7639,1,13-02-2024 13:24
97658584,7639,2,13-02-2024 13:26
94010152,7639,3,13-02-2024 13:31
42596673,7639,0,13-02-2024 13:36
84742915,7639,2,13-02-2024 13:41
70660355,7639,3,13-02-2024 13:44
69558891,6058,1,02-03-2024 10:36
85921338,6058,2,02-03-2024 10:38
87804052,6058,3,02-03-2024 10:42
14527692,6058,0,02-03-2024 10:46
83076577,6058,2,02-03-2024 10:48
66139963,6058,3,02-03-2024 10:50
97572115,7231,1,28-03-2024 14:00
43653033,7231,0,28-03-2024 14:09
94747331,3308,1,02-02-2024 16:31
51562677,3308,0,02-02-2024 16:41
19008295,7197,1,06-03-2024 19:07
15090472,7197,2,06-03-2024 19:11
67856767,7197,3,06-03-2024 19:13
12811370,7197,0,06-03-2024 19:20
35886133,7197,2,06-03-2024 19:25
77783517,7197,3,06-03-2024 19:27
30422044,7197,0,06-03-2024 19:30
12500075,7197,1,06-03-2024 19:33
93310281,7197,2,06-03-2024 19:36
43365560,7197,3,06-03-2024 19:40
42823025,9086,1,15-03-2024 21:14
70750878,9086,0,15-03-2024 21:21
77949536,3622,0,27-02-2024 15:08
57634625,3622,0,27-02-2024 15:19
45828031,2356,1,17-01-2024 20:06
96513520,2356,2,17-01-2024 20:07
37604117,2356,3,17-01-2024 20:11
17724919,2356,4,17-01-2024 20:12
85563150,2356,0,17-01-2024 20:13
52884345,2356,2,17-01-2024 20:16
56696737,2356,3,17-01-2024 20:19
54248305,2356,0,17-01-2024 20:20
81397810,2356,1,17-01-2024 20:22
29885661,2356,2,17-01-2024 20:24
74740032,2356,3,17-01-2024 20:25
35959325,2356,4,17-01-2024 20:28
38573179,1837,1,05-02-2024 14:03
77355621,1837,2,05-02-2024 14:06
10101112,1837,0,05-02-2024 14:13
46774173,1837,2,05-02-2024 14:15
36768002,6747,0,31-03-2024 21:41
28302848,1140,0,29-02-2024 19:43
67690430,7010,1,26-03-2024 20:48
77725953,7010,2,26-03-2024 20:51
79473018,7010,3,26-03-2024 20:52
86756413,7010,0,26-03-2024 20:55
40862604,7010,2,26-03-2024 20:59
18745935,7010,3,26-03-2024 21:01
15716491,9605,1,22-03-2024 16:04
72527501,9605,2,22-03-2024 16:09
69082043,9605,3,22-03-2024 16:10
90514741,9605,4,22-03-2024 16:12
16093140,9605,0,22-03-2024 16:17
25128189,9605,2,22-03-2024 16:19
69490933,9605,3,22-03-2024 16:20
21267865,9605,0,22-03-2024 16:22
13936401,9605,1,22-03-2024 16:23
61881594,9605,2,22-03-2024 16:26
50489013,9605,3,22-03-2024 16:28
47415986,9605,4,22-03-2024 16:32
70404775,9605,5,22-03-2024 16:35
91761079,9737,1,02-04-2024 16:24
66511402,9737,2,02-04-2024 16:25
39210279,9737,3,02-04-2024 16:30
84781551,9737,4,02-04-2024 16:33
46162264,9737,0,02-04-2024 16:34
54039116,9737,2,02-04-2024 16:39
10645571,9737,3,02-04-2024 16:40
40318246,9737,0,02-04-2024 16:45
17865225,9737,1,02-04-2024 16:46
70128262,9737,2,02-04-2024 16:51
81991339,9737,3,02-04-2024 16:52
18311654,9737,4,02-04-2024 16:57
98222095,1012,1,03-04-2024 13:26
26205669,1012,2,03-04-2024 13:29
39564161,1012,3,03-04-2024 13:33
42328599,1012,0,03-04-2024 13:36
31753768,1012,2,03-04-2024 13:39
46471567,1012,3,03-04-2024 13:42
73405234,6475,1,29-02-2024 21:04
90607021,6475,2,29-02-2024 21:06
25058057,6475,3,29-02-2024 21:10
82103691,6475,0,29-02-2024 21:12
23352234,6475,2,29-02-2024 21:14
68152401,6475,3,29-02-2024 21:19
25653718,6475,4,29-02-2024 21:20
85459365,6475,5,29-02-2024 21:24
41178330,1024,1,03-01-2024 16:07
58720232,1024,2,03-01-2024 16:12
62814659,1024,3,03-01-2024 16:13
95130727,1024,0,03-01-2024 16:17
91780451,1024,2,03-01-2024 16:22
23119758,1024,3,03-01-2024 16:26
50642909,9986,0,15-01-2024 21:10
10096778,1887,1,11-03-2024 13:23
32531672,1887,2,11-03-2024 13:24
23952693,1887,0,11-03-2024 13:34
35403026,1887,2,11-03-2024 13:36
78560279,1887,0,11-03-2024 13:38
40574960,1887,1,11-03-2024 13:39
91703836,1887,2,11-03-2024 13:40
33024977,9192,1,06-02-2024 13:25
79730200,9192,2,06-02-2024 13:28
56991885,9192,0,06-02-2024 13:38
34184498,9192,2,06-02-2024 13:40
16766959,9192,0,06-02-2024 13:46
52630826,9192,1,06-02-2024 13:48
83428861,9192,2,06-02-2024 13:49
27962114,6386,1,02-04-2024 20:30
48164746,6386,2,02-04-2024 20:32
20768285,6386,0,02-04-2024 20:40
60771065,6386,2,02-04-2024 20:43
50668893,6386,0,02-04-2024 20:50
93143790,6386,1,02-04-2024 20:54
33793901,6386,2,02-04-2024 20:55
49342690,7143,0,17-02-2024 13:41
33764097,8944,1,21-02-2024 13:20
51381428,8944,2,21-02-2024 13:24
23024447,8944,3,21-02-2024 13:26
76843947,8944,0,21-02-2024 13:31
24477920,8944,2,21-02-2024 13:33
52604988,8944,3,21-02-2024 13:38
98315571,8944,0,21-02-2024 13:40
64574106,8944,1,21-02-2024 13:44
47547108,8944,2,21-02-2024 13:46
37235902,8944,3,21-02-2024 13:47
62594457,8919,1,13-03-2024 16:47
92557282,8919,2,13-03-2024 16:49
12246435,8919,3,13-03-2024 16:52
61330377,8919,0,13-03-2024 16:53
30254289,8919,2,13-03-2024 16:54
35559174,8919,3,13-03-2024 16:57
51988306,8919,4,13-03-2024 16:58
15581167,8919,5,13-03-2024 17:00
77333443,2796,1,14-01-2024 10:04
97609546,2796,2,14-01-2024 10:09
64831586,2796,0,14-01-2024 10:20
40292271,2796,2,14-01-2024 10:25
89590762,2796,0,14-01-2024 10:32
35563168,2796,1,14-01-2024 10:37
17079675,2796,2,14-01-2024 10:38
26833185,9923,0,28-03-2024 13:25
78047556,9923,0,28-03-2024 13:31
55582523,8675,0,02-02-2024 15:56
87746474,8675,0,02-02-2024 16:04
49396961,3004,0,25-01-2024 11:48
96715852,3750,1,17-03-2024 17:29
72857552,3750,2,17-03-2024 17:31
43966353,3750,3,17-03-2024 17:34
46882494,3750,0,17-03-2024 17:38
80216516,3750,2,17-03-2024 17:40
36280652,3750,3,17-03-2024 17:45
92947136,1730,1,24-01-2024 15:02
10698895,1730,2,24-01-2024 15:07
16894951,1730,3,24-01-2024 15:11
96113250,1730,0,24-01-2024 15:20
86281784,1730,2,24-01-2024 15:23
32162249,1730,3,24-01-2024 15:25
21470506,1730,0,24-01-2024 15:30
79621273,1730,1,24-01-2024 15:31
98468716,1730,2,24-01-2024 15:35
54746953,1730,3,24-01-2024 15:40
60318039,2756,1,08-02-2024 19:46
91785511,2756,2,08-02-2024 19:48
52918717,2756,3,08-02-2024 19:52
29537455,2756,0,08-02-2024 19:57
87296114,2756,2,08-02-2024 19:59
80418412,2756,3,08-02-2024 20:03
69745501,2756,4,08-02-2024 20:08
11272256,2756,5,08-02-2024 20:11
92769772,7836,1,07-04-2024 19:37
37039615,7836,2,07-04-2024 19:38
17268542,7836,3,07-04-2024 19:42
45260220,7836,0,07-04-2024 19:44
36012561,7836,2,07-04-2024 19:47
38126479,7836,3,07-04-2024 19:50
89307570,2995,1,25-02-2024 14:42
84954423,2995,2,25-02-2024 14:43
56723649,2995,3,25-02-2024 14:48
67505017,2995,0,25-02-2024 14:53
14743672,2995,2,25-02-2024 14:55
27973026,2995,3,25-02-2024 14:59
25747545,2995,0,25-02-2024 15:03
24150498,2995,1,25-02-2024 15:05
11831868,2995,2,25-02-2024 15:07
94404879,2995,3,25-02-2024 15:11
49947357,4918,1,06-01-2024 20:04
48041413,4918,2,06-01-2024 20:09
81336124,4918,3,06-01-2024 20:13
22515181,4918,0,06-01-2024 20:17
99181946,4918,2,06-01-2024 20:19
36718804,4918,3,06-01-2024 20:23
33633526,4918,4,06-01-2024 20:26
55475785,4918,5,06-01-2024 20:30
49328668,6827,1,16-01-2024 15:58
52027055,6827,2,16-01-2024 15:59
57376837,6827,3,16-01-2024 16:02
16326273,6827,0,16-01-2024 16:07
18316295,6827,2,16-01-2024 16:11
73729243,6827,3,16-01-2024 16:14
61215877,6210,0,08-03-2024 19:58
39428725,5340,1,09-03-2024 16:19
76258578,5340,2,09-03-2024 16:20
80908588,5340,3,09-03-2024 16:23
62685975,5340,0,09-03-2024 16:25
52584975,5340,2,09-03-2024 16:30
24309997,5340,3,09-03-2024 16:34
89512850,5340,4,09-03-2024 16:38
15772794,7633,1,06-02-2024 20:13
82612536,7633,2,06-02-2024 20:16
41636716,7633,3,06-02-2024 20:18
38185198,7633,0,06-02-2024 20:19
32007271,7633,2,06-02-2024 20:22
23049342,7633,3,06-02-2024 20:24
67338721,7633,4,06-02-2024 20:26
65309187,9851,1,07-01-2024 19:24
81154556,9851,2,07-01-2024 19:27
57256563,9851,3,07-01-2024 19:31
68798710,9851,0,07-01-2024 19:38
23718287,9851,2,07-01-2024 19:39
33724982,9851,3,07-01-2024 19:42
62597322,9851,0,07-01-2024 19:43
89805233,9851,1,07-01-2024 19:48
68855973,9851,2,07-01-2024 19:52
14756555,9851,3,07-01-2024 19:53
63959149,7461,1,10-01-2024 15:48
84090962,7461,2,10-01-2024 15:50
27830738,7461,3,10-01-2024 15:52
74598704,7461,0,10-01-2024 15:54
96658231,7461,2,10-01-2024 15:57
53172653,7461,3,10-01-2024 16:00
51073159,1584,1,12-03-2024 12:05
10367223,1584,2,12-03-2024 12:07
59481892,1584,3,12-03-2024 12:11
97878303,1584,0,12-03-2024 12:14
98503861,1584,2,12-03-2024 12:15
52628022,1584,3,12-03-2024 12:17
28313660,3254,0,03-02-2024 20:53
25115922,6137,1,14-02-2024 16:26
89447356,6137,0,14-02-2024 16:33
39175054,5613,1,07-01-2024 19:52
96963380,5613,2,07-01-2024 19:56
68244208,5613,0,07-01-2024 20:02
83674941,5613,2,07-01-2024 20:07
27521312,5613,0,07-01-2024 20:17
66043149,5613,1,07-01-2024 20:22
60854998,5613,2,07-01-2024 20:23
74190585,2867,1,16-01-2024 18:08
37180594,2867,2,16-01-2024 18:11
57150509,2867,3,16-01-2024 18:16
90268421,2867,4,16-01-2024 18:20
75694513,2867,0,16-01-2024 18:24
21356475,2867,2,16-01-2024 18:28
51276259,2867,3,16-01-2024 18:31
57950281,2867,0,16-01-2024 18:36
93583772,2867,1,16-01-2024 18:38
42908559,2867,2,16-01-2024 18:40
25554998,2867,3,16-01-2024 18:45
63439411,2867,4,16-01-2024 18:46
86113316,2867,5,16-01-2024 18:49
82283309,4458,1,02-03-2024 14:57
19612209,4458,2,02-03-2024 14:59
68257936,4458,3,02-03-2024 15:04
94569432,4458,0,02-03-2024 15:09
38507153,4458,2,02-03-2024 15:14
43655116,4458,3,02-03-2024 15:18
56908494,7592,1,28-03-2024 15:28
71011367,7592,2,28-03-2024 15:32
54385386,7592,3,28-03-2024 15:36
31046848,7592,4,28-03-2024 15:37
97634628,7592,0,28-03-2024 15:42
27453378,7592,2,28-03-2024 15:46
10688932,7592,3,28-03-2024 15:48
33740658,7592,0,28-03-2024 15:52
57777792,7592,1,28-03-2024 15:55
52094988,7592,2,28-03-2024 15:58
76215828,7592,3,28-03-2024 16:02
85645055,7592,4,28-03-2024 16:04
44565657,6607,1,01-01-2024 20:00
30229657,6607,2,01-01-2024 20:05
59155737,6607,0,01-01-2024 20:13
83770938,6607,2,01-01-2024 20:18
17886207,6607,0,01-01-2024 20:27
36728561,6607,1,01-01-2024 20:29
91254362,6607,2,01-01-2024 20:31
14161946,2289,1,18-03-2024 17:48
22022353,2289,0,18-03-2024 18:03
83014413,2289,0,18-03-2024 18:14
94140761,2289,1,18-03-2024 18:15
96722156,3490,1,12-01-2024 10:01
60786413,3490,0,12-01-2024 10:08
49308332,7482,0,09-03-2024 14:01
15109814,7482,0,09-03-2024 14:04
23364375,3758,1,19-03-2024 16:27
21663240,3758,2,19-03-2024 16:29
67190551,3758,0,19-03-2024 16:36
48797222,3758,2,19-03-2024 16:40
99059945,4722,1,18-02-2024 21:28
55968925,4722,0,18-02-2024 21:35
43047112,8657,1,26-03-2024 10:54
95557504,8657,0,26-03-2024 11:06
32251091,8657,0,26-03-2024 11:14
73320033,8657,1,26-03-2024 11:17
81262590,9030,1,22-02-2024 15:06
66448100,9030,2,22-02-2024 15:07
32855177,9030,3,22-02-2024 15:11
16799796,9030,4,22-02-2024 15:16
38910361,9030,0,22-02-2024 15:19
56008912,9030,2,22-02-2024 15:21
98126357,9030,3,22-02-2024 15:24
13571091,9030,0,22-02-2024 15:25
97104562,9030,1,22-02-2024 15:26
12285943,9030,2,22-02-2024 15:29
38339265,9030,3,22-02-2024 15:32
22529450,9030,4,22-02-2024 15:37
20376945,9030,5,22-02-2024 15:41
35884881,8806,0,13-02-2024 12:51
18965329,2525,1,04-02-2024 20:59
77983561,2525,2,04-02-2024 21:04
69485643,2525,3,04-02-2024 21:09
25605508,2525,0,04-02-2024 21:15
63937623,2525,2,04-02-2024 21:16
99443123,2525,3,04-02-2024 21:21
65891481,2525,0,04-02-2024 21:24
40076090,2525,1,04-02-2024 21:25
88928556,2525,2,04-02-2024 21:28
35006416,2525,3,04-02-2024 21:30
33645132,7565,0,23-03-2024 11:54
46414556,7565,0,23-03-2024 12:05
69062582,5943,0,12-03-2024 21:37
62103191,7576,1,27-03-2024 17:28
23544622,7576,2,27-03-2024 17:31
83267371,7576,3,27-03-2024 17:33
92609177,7576,4,27-03-2024 17:38
12976836,7576,0,27-03-2024 17:39
16958780,7576,2,27-03-2024 17:40
97536763,7576,3,27-03-2024 17:42
43419574,7576,0,27-03-2024 17:45
63156457,7576,1,27-03-2024 17:50
74340218,7576,2,27-03-2024 17:52
62648940,7576,3,27-03-2024 17:53
41493148,7576,4,27-03-2024 17:58
18181120,7576,5,27-03-2024 17:59
54041083,8984,1,06-01-2024 16:42
44639984,8984,0,06-01-2024 16:51
33630972,4937,1,20-03-2024 10:53
48186161,4937,2,20-03-2024 10:56
65551920,4937,0,20-03-2024 11:06
12852238,4937,2,20-03-2024 11:07
10006739,5387,1,31-01-2024 21:45
47753862,5387,2,31-01-2024 21:48
22191217,5387,3,31-01-2024 21:51
21152350,5387,0,31-01-2024 22:00
49913661,5387,2,31-01-2024 22:02
63718353,5387,3,31-01-2024 22:06
98008801,5387,0,31-01-2024 22:10
95341972,5387,1,31-01-2024 22:15
20885333,5387,2,31-01-2024 22:20
47246329,5387,3,31-01-2024 22:21
44642457,1692,1,05-02-2024 15:27
32935982,1692,2,05-02-2024 15:31
71745621,1692,3,05-02-2024 15:36
69292618,1692,0,05-02-2024 15:41
91507038,1692,2,05-02-2024 15:43
25935394,1692,3,05-02-2024 15:48
34479754,5782,1,08-03-2024 15:47
36851987,5782,2,08-03-2024 15:48
58872111,5782,0,08-03-2024 16:01
42597124,5782,2,08-03-2024 16:02
34313453,5782,0,08-03-2024 16:10
21339893,5782,1,08-03-2024 16:15
89870104,5782,2,08-03-2024 16:20
15396031,7401,0,20-01-2024 12:09
40745837,7401,0,20-01-2024 12:13
69373065,8410,0,02-03-2024 12:19
83280565,8410,0,02-03-2024 12:26
49138161,6181,1,02-02-2024 10:20
52822814,6181,2,02-02-2024 10:21
57022048,6181,3,02-02-2024 10:25
77592731,6181,0,02-02-2024 10:30
39800274,6181,2,02-02-2024 10:32
99286339,6181,3,02-02-2024 10:34
45260217,6181,0,02-02-2024 10:38
92751284,6181,1,02-02-2024 10:40
38692645,6181,2,02-02-2024 10:41
95448464,6181,3,02-02-2024 10:46
35199535,5524,0,29-01-2024 21:10
49580682,5524,0,29-01-2024 21:20
16202865,4564,1,27-02-2024 13:25
24016344,4564,0,27-02-2024 13:37
86465032,4449,0,29-01-2024 14:44
22226070,4449,0,29-01-2024 14:53
21491259,7961,1,14-02-2024 19:44
93397846,7961,2,14-02-2024 19:46
55318194,7961,0,14-02-2024 19:56
73654700,7961,2,14-02-2024 20:01
86250439,7961,0,14-02-2024 20:11
31136540,7961,1,14-02-2024 20:15
32122676,7961,2,14-02-2024 20:16
78324237,1847,0,07-01-2024 20:45
80163610,1847,0,07-01-2024 20:52
50644001,6418,1,03-03-2024 21:57
89082853,6418,2,03-03-2024 22:02
10303302,6418,3,03-03-2024 22:07
93194524,6418,0,03-03-2024 22:09
33853261,6418,2,03-03-2024 22:14
22779560,6418,3,03-03-2024 22:16
56300114,7719,1,15-01-2024 15:55
70965467,7719,2,15-01-2024 15:59
48587910,7719,3,15-01-2024 16:00
14534001,7719,4,15-01-2024 16:02
34344466,7719,0,15-01-2024 16:04
22140378,7719,2,15-01-2024 16:05
94547735,7719,3,15-01-2024 16:09
98889140,7719,0,15-01-2024 16:10
67642323,7719,1,15-01-2024 16:11
65608446,7719,2,15-01-2024 16:13
75563410,7719,3,15-01-2024 16:15
98490236,7719,4,15-01-2024 16:18
35862896,7719,5,15-01-2024 16:19
53425567,3378,0,27-03-2024 20:29
82602174,9463,1,09-03-2024 13:53
39061725,9463,2,09-03-2024 13:58
41736866,9463,3,09-03-2024 14:02
30181514,9463,0,09-03-2024 14:07
23253492,9463,2,09-03-2024 14:11
53174210,9463,3,09-03-2024 14:16
54317358,9463,4,09-03-2024 14:20
68476808,6101,1,03-02-2024 17:45
30706875,6101,0,03-02-2024 17:50
82524351,9501,1,19-03-2024 21:53
29415458,9501,2,19-03-2024 21:57
78000534,9501,3,19-03-2024 22:02
84119461,9501,4,19-03-2024 22:07
66404638,9501,0,19-03-2024 22:08
57023722,9501,2,19-03-2024 22:13
38904363,9501,3,19-03-2024 22:18
82401155,9501,0,19-03-2024 22:21
32893066,9501,1,19-03-2024 22:24
93689226,9501,2,19-03-2024 22:25
68627666,9501,3,19-03-2024 22:28
63167829,9501,4,19-03-2024 22:29
85275355,7361,0,28-01-2024 17:02
73208712,7363,1,10-04-2024 13:42
65052694,7363,2,10-04-2024 13:44
48736255,7363,3,10-04-2024 13:49
22305024,7363,0,10-04-2024 13:57
49561669,7363,2,10-04-2024 13:58
26985997,7363,3,10-04-2024 13:59
72414915,7363,0,10-04-2024 14:02
91744052,7363,1,10-04-2024 14:04
65903749,7363,2,10-04-2024 14:05
38922601,7363,3,10-04-2024 14:08
70783307,8525,1,02-02-2024 16:09
97647662,8525,0,02-02-2024 16:13
85715782,1080,1,16-02-2024 21:39
